order,instance_id,repo,difficulty,image
1,django__django-16100,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-16100:latest
2,django__django-14140,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-14140:latest
3,django__django-15368,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-15368:latest
4,django__django-14434,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-14434:latest
5,sympy__sympy-13615,sympy/sympy,15 min - 1 hour,swebench/sweb.eval.x86_64.sympy_1776_sympy-13615:latest
6,django__django-13089,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-13089:latest
7,django__django-11265,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-11265:latest
8,django__django-13128,django/django,1-4 hours,swebench/sweb.eval.x86_64.django_1776_django-13128:latest
9,django__django-13658,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-13658:latest
10,django__django-15525,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-15525:latest
11,django__django-15467,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-15467:latest
12,astropy__astropy-14508,astropy/astropy,15 min - 1 hour,swebench/sweb.eval.x86_64.astropy_1776_astropy-14508:latest
13,matplotlib__matplotlib-20859,matplotlib/matplotlib,<15 min fix,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-20859:latest
14,django__django-11066,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-11066:latest
15,django__django-11848,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-11848:latest
16,django__django-15741,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-15741:latest
17,django__django-10973,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-10973:latest
18,scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,15 min - 1 hour,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-14087:latest
19,django__django-12708,django/django,1-4 hours,swebench/sweb.eval.x86_64.django_1776_django-12708:latest
20,django__django-15973,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-15973:latest
21,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,<15 min fix,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13496:latest
22,django__django-16082,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-16082:latest
23,astropy__astropy-13977,astropy/astropy,15 min - 1 hour,swebench/sweb.eval.x86_64.astropy_1776_astropy-13977:latest
24,django__django-13343,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-13343:latest
25,django__django-12125,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-12125:latest
26,pydata__xarray-2905,pydata/xarray,15 min - 1 hour,swebench/sweb.eval.x86_64.pydata_1776_xarray-2905:latest
27,scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,15 min - 1 hour,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-10844:latest
28,sympy__sympy-13798,sympy/sympy,15 min - 1 hour,swebench/sweb.eval.x86_64.sympy_1776_sympy-13798:latest
29,django__django-14155,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-14155:latest
30,django__django-16595,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-16595:latest
31,django__django-13933,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-13933:latest
32,django__django-13406,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-13406:latest
33,scikit-learn__scikit-learn-15100,scikit-learn/scikit-learn,15 min - 1 hour,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-15100:latest
34,django__django-15732,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-15732:latest
35,scikit-learn__scikit-learn-11310,scikit-learn/scikit-learn,<15 min fix,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-11310:latest
36,django__django-13112,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-13112:latest
37,django__django-15098,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-15098:latest
38,sphinx-doc__sphinx-9711,sphinx-doc/sphinx,<15 min fix,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-9711:latest
39,sympy__sympy-23824,sympy/sympy,15 min - 1 hour,swebench/sweb.eval.x86_64.sympy_1776_sympy-23824:latest
40,matplotlib__matplotlib-20826,matplotlib/matplotlib,15 min - 1 hour,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-20826:latest
41,sphinx-doc__sphinx-7440,sphinx-doc/sphinx,<15 min fix,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7440:latest
42,django__django-13512,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-13512:latest
43,django__django-13513,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-13513:latest
44,django__django-11964,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-11964:latest
45,matplotlib__matplotlib-21568,matplotlib/matplotlib,15 min - 1 hour,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-21568:latest
46,sympy__sympy-23262,sympy/sympy,15 min - 1 hour,swebench/sweb.eval.x86_64.sympy_1776_sympy-23262:latest
47,django__django-14915,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-14915:latest
48,sphinx-doc__sphinx-7985,sphinx-doc/sphinx,15 min - 1 hour,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7985:latest
49,django__django-14539,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-14539:latest
50,django__django-10880,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-10880:latest
51,matplotlib__matplotlib-26342,matplotlib/matplotlib,15 min - 1 hour,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-26342:latest
52,sympy__sympy-13480,sympy/sympy,<15 min fix,swebench/sweb.eval.x86_64.sympy_1776_sympy-13480:latest
53,sympy__sympy-15809,sympy/sympy,<15 min fix,swebench/sweb.eval.x86_64.sympy_1776_sympy-15809:latest
54,sympy__sympy-19040,sympy/sympy,15 min - 1 hour,swebench/sweb.eval.x86_64.sympy_1776_sympy-19040:latest
55,pydata__xarray-7393,pydata/xarray,15 min - 1 hour,swebench/sweb.eval.x86_64.pydata_1776_xarray-7393:latest
56,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,<15 min fix,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10449:latest
57,django__django-13158,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-13158:latest
