order,instance_id,repo,difficulty,image
1,instance_ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,,jefzda/sweap-images:ansible.ansible-ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5
2,instance_ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8,ansible/ansible,,jefzda/sweap-images:ansible.ansible-ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8
3,instance_ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,,jefzda/sweap-images:ansible.ansible-ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59
4,instance_ansible__ansible-d33bedc48fdd933b5abd65a77c081876298e2f07-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,,jefzda/sweap-images:ansible.ansible-ansible__ansible-d33bedc48fdd933b5abd65a77c081876298e2f07-v0f01c69f1e2528b935359cfe578530722bca2c59
5,instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,,jefzda/sweap-images:ansible.ansible-ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5
6,instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,flipt-io/flipt,,jefzda/sweap-images:flipt-io.flipt-flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446
7,instance_flipt-io__flipt-36e62baffae2132f78f9d34dc300a9baa2d7ae0e,flipt-io/flipt,,jefzda/sweap-images:flipt-io.flipt-flipt-io__flipt-36e62baffae2132f78f9d34dc300a9baa2d7ae0e
8,instance_flipt-io__flipt-406f9396ad65696d58865b3a6283109cd4eaf40e,flipt-io/flipt,,jefzda/sweap-images:flipt-io.flipt-flipt-io__flipt-406f9396ad65696d58865b3a6283109cd4eaf40e
9,instance_flipt-io__flipt-56a620b8fc9ef7a0819b47709aa541cdfdbba00b,flipt-io/flipt,,jefzda/sweap-images:flipt-io.flipt-flipt-io__flipt-56a620b8fc9ef7a0819b47709aa541cdfdbba00b
10,instance_flipt-io__flipt-7161f7b876773a911afdd804b281e52681cb7321,flipt-io/flipt,,jefzda/sweap-images:flipt-io.flipt-flipt-io__flipt-7161f7b876773a911afdd804b281e52681cb7321
