order,instance_id,repo,difficulty,image
1,psf__requests-6028,psf/requests,15 min - 1 hour,swebench/sweb.eval.x86_64.psf_1776_requests-6028:latest
2,sympy__sympy-13480,sympy/sympy,<15 min fix,swebench/sweb.eval.x86_64.sympy_1776_sympy-13480:latest
3,pytest-dev__pytest-7571,pytest-dev/pytest,15 min - 1 hour,swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-7571:latest
4,django__django-14140,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-14140:latest
5,django__django-13933,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-13933:latest
6,sympy__sympy-20590,sympy/sympy,15 min - 1 hour,swebench/sweb.eval.x86_64.sympy_1776_sympy-20590:latest
7,pytest-dev__pytest-5262,pytest-dev/pytest,<15 min fix,swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-5262:latest
8,django__django-12262,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-12262:latest
9,django__django-14539,django/django,<15 min fix,swebench/sweb.eval.x86_64.django_1776_django-14539:latest
10,django__django-13809,django/django,15 min - 1 hour,swebench/sweb.eval.x86_64.django_1776_django-13809:latest
11,sphinx-doc__sphinx-7889,sphinx-doc/sphinx,<15 min fix,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7889:latest
12,sympy__sympy-13798,sympy/sympy,15 min - 1 hour,swebench/sweb.eval.x86_64.sympy_1776_sympy-13798:latest
13,sphinx-doc__sphinx-10435,sphinx-doc/sphinx,<15 min fix,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10435:latest
14,matplotlib__matplotlib-22871,matplotlib/matplotlib,15 min - 1 hour,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-22871:latest
15,sympy__sympy-22914,sympy/sympy,15 min - 1 hour,swebench/sweb.eval.x86_64.sympy_1776_sympy-22914:latest
